,heure,solaire,eolien,nucleaire,hydraulique,gaz,imports
264,2024-01-12 00:00:00,0.0,0.3285477146145198,0.8,1.0,0.9,1.0
265,2024-01-12 01:00:00,0.0,0.30769585838479907,0.8,1.0,0.9,1.0
266,2024-01-12 02:00:00,0.0,0.30795781637763475,0.8,1.0,0.9,1.0
267,2024-01-12 03:00:00,0.0,0.32037462523804633,0.8,1.0,0.9,1.0
268,2024-01-12 04:00:00,0.0,0.32634726747470005,0.8,1.0,0.9,1.0
269,2024-01-12 05:00:00,0.0,0.330905336550041,0.8,1.0,0.9,1.0
270,2024-01-12 06:00:00,0.0,0.31162522827733435,0.8,1.0,0.9,1.0
271,2024-01-12 07:00:00,0.0,0.29816058744558,0.8,1.0,0.9,1.0
272,2024-01-12 08:00:00,0.014501110093843798,0.29962755220545984,0.8,1.0,0.9,1.0
273,2024-01-12 09:00:00,0.023834551863335985,0.2812904927069617,0.8,1.0,0.9,1.0
274,2024-01-12 10:00:00,0.08690119794419847,0.2644203979683434,0.8,1.0,0.9,1.0
275,2024-01-12 11:00:00,0.20122267679311973,0.23953438864895304,0.8,1.0,0.9,1.0
276,2024-01-12 12:00:00,0.2909713654466548,0.20757551352299913,0.8,1.0,0.9,1.0
277,2024-01-12 13:00:00,0.33563478453569373,0.18913367082736668,0.8,1.0,0.9,1.0
278,2024-01-12 14:00:00,0.3358984410828545,0.1865140908990098,0.8,1.0,0.9,1.0
279,2024-01-12 15:00:00,0.28395810129217763,0.19060063558724655,0.8,1.0,0.9,1.0
280,2024-01-12 16:00:00,0.18361041944277853,0.20417005961613519,0.8,1.0,0.9,1.0
281,2024-01-12 17:00:00,0.06955259714101807,0.2085185622972076,0.8,1.0,0.9,1.0
282,2024-01-12 18:00:00,0.016926750327723124,0.2039081016232995,0.8,1.0,0.9,1.0
283,2024-01-12 19:00:00,0.0,0.20783747151583482,0.8,1.0,0.9,1.0
284,2024-01-12 20:00:00,0.0,0.20788986311440194,0.8,1.0,0.9,1.0
285,2024-01-12 21:00:00,0.0,0.2093568278742818,0.8,1.0,0.9,1.0
286,2024-01-12 22:00:00,0.0,0.18866214644026244,0.8,1.0,0.9,1.0
287,2024-01-12 23:00:00,0.0,0.163357004332335,0.8,1.0,0.9,1.0
288,2024-01-13 00:00:00,0.0,0.14847779033926792,0.8,1.0,0.9,1.0
289,2024-01-13 01:00:00,0.0,0.13831382021724323,0.8,1.0,0.9,1.0
290,2024-01-13 02:00:00,0.0,0.13192204519205245,0.8,1.0,0.9,1.0
291,2024-01-13 03:00:00,0.0,0.12217720785856485,0.8,1.0,0.9,1.0
292,2024-01-13 04:00:00,0.0,0.10818865104113912,0.8,1.0,0.9,1.0
293,2024-01-13 05:00:00,0.0,0.09640054136353315,0.8,1.0,0.9,1.0
294,2024-01-13 06:00:00,0.0,0.08618417964294132,0.8,1.0,0.9,1.0
295,2024-01-13 07:00:00,0.0,0.08304068372891307,0.8,1.0,0.9,1.0
296,2024-01-13 08:00:00,0.01355194652406493,0.0804211038005562,0.8,1.0,0.9,1.0
297,2024-01-13 09:00:00,0.021936224723778253,0.07602020952091663,0.8,1.0,0.9,1.0
